animal_id,outcome_time,date_of_birth,outcome_gender,outcome_age,animal_stay,intake_time,found_location,intake_type,intake_condition,animal_type,intake_gender,intake_age,breed,color,stay_duration,spay_neuter,repeat
A006100,2014-03-08,2007-07-09,Neutered Male,72.0,A006100-1,2014-03-07,8700 Research in Austin (TX),Public Assist,Normal,Dog,Neutered Male,72.0,Spinone Italiano Mix,Yellow/White,1,0,1
A006100,2014-12-20,2007-07-09,Neutered Male,84.0,A006100-2,2014-12-19,8700 Research Blvd in Austin (TX),Public Assist,Normal,Dog,Neutered Male,84.0,Spinone Italiano Mix,Yellow/White,1,0,1
A006100,2017-12-07,2007-07-09,Neutered Male,120.0,A006100-3,2017-12-07,Colony Creek And Hunters Trace in Austin (TX),Stray,Normal,Dog,Neutered Male,120.0,Spinone Italiano Mix,Yellow/White,0,0,1
A287017,2014-12-12,2001-05-13,Spayed Female,156.0,A287017-1,2014-12-12,Lazy Oaks /Westgate William Cannon in Austin (TX),Stray,Aged,Dog,Spayed Female,156.0,Chihuahua Shorthair Mix,Black/White,0,0,1
A287017,2015-08-16,2001-05-13,Spayed Female,168.0,A287017-2,2015-08-16,6620 Deatonhill Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,168.0,Chihuahua Shorthair Mix,Black/White,0,0,1
A307010,2016-09-28,2003-03-04,Neutered Male,156.0,A307010-1,2016-09-25,Freidrich Lane And St Elmo Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,156.0,Beagle Mix,Tricolor,3,0,1
A307010,2017-06-05,2003-03-04,Neutered Male,168.0,A307010-2,2017-06-01,806 Castle Ridge in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,168.0,Beagle Mix,Tricolor,4,0,1
A318574,2015-07-31,2003-04-19,Neutered Male,144.0,A318574-1,2015-06-13,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,144.0,Domestic Shorthair,Brown Tabby,48,0,1
A318574,2016-05-23,2003-04-19,Neutered Male,156.0,A318574-2,2016-04-27,4412 Brandt Rd in Austin (TX),Stray,Normal,Cat,Neutered Male,156.0,Domestic Shorthair,Brown Tabby,26,0,1
A329502,2015-07-20,1999-01-12,Neutered Male,192.0,A329502-1,2015-07-19,7205 Tumbleweed in Austin (TX),Stray,Normal,Dog,Neutered Male,192.0,Chihuahua Shorthair,Brown,1,0,1
A345209,2014-11-27,2004-02-18,Spayed Female,120.0,A345209-1,2014-11-26,4106 N Lamar Blvd in Austin (TX),Stray,Normal,Dog,Spayed Female,120.0,Labrador Retriever Mix,Tan,1,0,1
A347684,2015-03-29,2001-05-23,Spayed Female,156.0,A347684-1,2014-07-26,Stassney And Gobi in Austin (TX),Stray,Normal,Dog,Spayed Female,156.0,Chihuahua Shorthair,Black/Red,246,0,1
A362383,2016-03-22,2004-01-11,Neutered Male,144.0,A362383-1,2016-03-11,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,144.0,Parson Russell Terrier Mix,Brown/White,11,0,1
A362383,2016-04-21,2004-01-11,Neutered Male,144.0,A362383-2,2016-04-21,Hwy 360 /Barton Plaza in Austin (TX),Stray,Normal,Dog,Neutered Male,144.0,Parson Russell Terrier Mix,Brown/White,0,0,1
A363653,2014-03-23,2003-11-28,Neutered Male,120.0,A363653-1,2014-03-23,Kay Street in Austin (TX),Stray,Normal,Dog,Neutered Male,120.0,Catahoula/Labrador Retriever,Blue Merle/White,0,0,1
A378348,2014-01-19,2004-08-07,Neutered Male,108.0,A378348-1,2013-12-12,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,108.0,German Shepherd Mix,Black/Brown,38,1,1
A378348,2014-04-23,2004-08-07,Neutered Male,108.0,A378348-2,2014-01-25,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,108.0,German Shepherd Mix,Black/Brown,88,0,1
A381217,2017-06-09,2004-03-05,Neutered Male,156.0,A381217-1,2017-06-04,2005 Willow Creek in Austin (TX),Stray,Normal,Dog,Neutered Male,156.0,Miniature Poodle/Cairn Terrier,White/Cream,5,0,1
A381217,2017-07-17,2004-03-05,Neutered Male,156.0,A381217-2,2017-07-08,East Oltorf Street And Parker Lane in Austin (TX),Stray,Sick,Dog,Neutered Male,156.0,Miniature Poodle/Cairn Terrier,White/Cream,9,0,1
A390222,2013-12-08,2004-05-23,Spayed Female,108.0,A390222-1,2013-12-04,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,108.0,Jack Russell Terrier,White/Tan,4,0,1
A390222,2013-12-15,2004-05-23,Spayed Female,108.0,A390222-2,2013-12-08,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,108.0,Jack Russell Terrier,White/Tan,7,0,1
A413789,2016-04-19,2005-09-03,Spayed Female,120.0,A413789-1,2016-04-19,5106 Village Square in Austin (TX),Stray,Normal,Dog,Spayed Female,120.0,Pomeranian Mix,Black/Brown,0,0,1
A413789,2019-10-27,2005-09-03,Spayed Female,168.0,A413789-2,2019-10-25,Stassney And Nuckols Crossing in Austin (TX),Stray,Normal,Dog,Spayed Female,168.0,Pomeranian Mix,Black/Brown,2,0,1
A415823,2015-08-17,2002-12-30,Neutered Male,144.0,A415823-1,2015-08-16,9202 Kempler in Austin (TX),Stray,Normal,Dog,Neutered Male,144.0,Pit Bull Mix,Tan,1,0,1
A415823,2015-10-26,2002-12-30,Neutered Male,144.0,A415823-2,2015-10-26,9200 Queenswood Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,144.0,Pit Bull Mix,Tan,0,0,1
A416147,2018-10-03,2005-11-03,Neutered Male,144.0,A416147-1,2018-09-29,5107 West Parmer Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,144.0,Labrador Retriever Mix,Black/White,4,0,1
A416147,2018-10-06,2005-11-03,Neutered Male,144.0,A416147-2,2018-10-05,12034 Research Boulevard in Austin (TX),Stray,Sick,Dog,Neutered Male,144.0,Labrador Retriever Mix,Black/White,1,0,1
A416147,2019-06-04,2005-11-03,Neutered Male,156.0,A416147-3,2019-06-01,6001 West Parmer in Austin (TX),Stray,Normal,Dog,Neutered Male,156.0,Labrador Retriever Mix,Black/White,3,0,1
A416147,2019-12-26,2005-11-03,Neutered Male,168.0,A416147-4,2019-12-22,Fm 734 And Mcneil Road in Austin (TX),Stray,Normal,Dog,Neutered Male,168.0,Labrador Retriever Mix,Black/White,4,0,1
A424158,2015-01-08,2005-03-28,Neutered Male,108.0,A424158-1,2015-01-05,Crossing Place /Riverside Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,108.0,Chihuahua Shorthair Mix,Tan/White,3,0,1
A424158,2016-05-02,2005-03-28,Neutered Male,132.0,A424158-2,2016-05-02,Crossing Place And Riverside in Austin (TX),Stray,Normal,Dog,Neutered Male,132.0,Chihuahua Shorthair Mix,Tan/White,0,0,1
A430709,2017-12-30,2004-09-26,Neutered Male,156.0,A430709-1,2017-03-02,Teri Rd And Nuckols Crossing Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,144.0,Pit Bull/Labrador Retriever,Black/White,303,0,1
A430709,2018-05-02,2004-09-26,Neutered Male,156.0,A430709-2,2017-12-26,Austin (TX),Stray,Injured,Dog,Neutered Male,156.0,Pit Bull/Labrador Retriever,Black/White,127,0,1
A433111,2013-11-04,2001-06-04,Intact Female,144.0,A433111-1,2013-10-20,Ohlen And Whitman Cv in Austin (TX),Stray,Normal,Dog,Intact Female,144.0,Queensland Heeler Mix,White/Brown,15,0,1
A438287,2018-01-13,2004-01-10,Spayed Female,168.0,A438287-1,2018-01-08,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,168.0,Chihuahua Shorthair Mix,Tan,5,0,1
